,lat,long,max_temp,humidity,wind_speed,clouds,country,dt,is_south
nioro,13.35,-15.75,82.29,75,0.73943149,97,Gambia,1635184959,0
yellowknife,62.456,-114.3525,39.42,99,3.61016551,72,Canada,1635184821,0
sept-iles,50.2001,-66.3821,48.06,72,1.39187104,11,Canada,1635184960,0
padang,-0.9492,100.3543,77.05,89,0.70214923,100,Indonesia,1635184960,1
cockburn town,21.4612,-71.1419,83.16,72,4.38687926,16,Turks and Caicos Islands,1635184960,0
sao felix do xingu,-6.6447,-51.995,89.04,54,0.57166132,96,Brazil,1635184866,1
san patricio,28.017,-97.5169,90.01,48,2.01945575,6,United States of America,1635184787,0
qaanaaq,77.484,-69.3632,-2.02,59,3.7344397099999997,16,Greenland,1635184961,0
chupa,66.27,33.0549,31.21,97,2.64704046,100,Russian Federation,1635184961,0
kruisfontein,-34.0033,24.7314,61.88,83,3.44860905,1,South Africa,1635184783,1
thunder bay,48.4001,-89.3168,46.29,71,1.6652742800000002,52,Canada,1635184961,0
provideniya,64.3833,-173.3,15.6,85,2.0505242999999997,70,Russian Federation,1635184962,0
sao manuel,-22.7311,-48.5706,78.08,51,1.17439119,83,Brazil,1635184806,1
kodiak,57.79,-152.4072,40.51,81,1.92003639,90,United States of America,1635184962,0
labuhan,-6.8844,112.2051,79.66,77,1.98217349,43,Indonesia,1635184962,1
lanxi,29.2195,119.477,55.27,89,0.6648669700000001,1,China,1635184963,0
butaritari,3.0707,172.7902,81.57,73,1.6217783099999998,6,Kiribati,1635184735,0
xiashi,30.5363,120.6864,64.99,77,1.6155646000000001,96,China,1635184963,0
traverse city,44.7631,-85.6206,49.73,82,5.11388333,90,United States of America,1635184963,0
tuktoyaktuk,69.4541,-133.0374,28.4,100,1.92003639,90,Canada,1635184963,0
salym,60.0625,71.4789,36.39,97,2.10644769,100,Russian Federation,1635184964,0
avarua,-21.2078,-159.775,73.45,64,3.19384694,69,Cook Islands,1635184964,1
lagoa,39.05,-27.9833,66.92,72,2.21208076,68,Portugal,1635184760,0
marzuq,14.4,46.4667,73.33,58,1.28623797,1,Yemen,1635184965,0
port-cartier,50.0334,-66.8654,47.75,48,0.24233469000000002,21,Canada,1635184965,0
wegrow,52.3995,22.0163,45.55,63,2.5289799700000004,52,Poland,1635184965,0
lusambo,-4.9667,23.45,71.37,98,0.7456452,99,"Congo, Democratic Republic of the",1635184966,1
mar del plata,-38.0023,-57.5575,71.62,36,4.16939941,0,Argentina,1635184800,1
denpasar,-8.65,115.2167,78.46,83,0.31689921,40,Indonesia,1635184864,1
banapur,19.7833,85.1833,76.19,74,1.1806049,6,India,1635184966,0
yashalta,46.3395,42.2762,41.92,48,2.06916543,93,Russian Federation,1635184966,0
mao,39.8885,4.2658,63.16,82,1.59692347,20,Spain,1635184925,0
surt,31.2089,16.5887,74.7,70,3.0882138699999997,11,Libya,1635184967,0
rio gallegos,-51.6226,-69.2181,50.05,27,11.19089171,40,Argentina,1635184719,1
berlin,52.5244,13.4105,49.98,81,1.6652742800000002,0,Germany,1635184869,0
rabo de peixe,37.8,-25.5833,69.31,73,1.92003639,20,Portugal,1635184967,0
havelock,34.8791,-76.9013,74.05,87,0.55302019,100,United States of America,1635184967,0
saldanha,-33.0117,17.9442,61.61,82,3.8462864900000002,1,South Africa,1635184968,1
pocinhos,-7.0767,-36.0611,89.89,29,4.7037784700000005,27,Brazil,1635184690,1
campbellton,48.0075,-66.6727,49.8,65,1.9262501,84,Canada,1635184968,0
karratha,-20.7377,116.8463,77.43,40,3.6163792200000002,6,Australia,1635184968,1
